row_no,timestamp_iso,symbol,action,direction,qty,a_side,b_side,lat_a_age_ms,lat_b_age_ms,lat_leg_skew_ms,a_minus_b_ms,a_minus_recv_ms,b_minus_recv_ms,a_send_price,a_fill_price,b_send_price,b_fill_price,a_adverse_slippage_usdt,b_adverse_slippage_usdt,total_adverse_slippage_usdt,net_pnl
91,2026-06-11T14:42:15.550Z,BTWUSDT,close,-a+b,100,sell,buy,18.0,359.0,341.0,341.0,-18.0,-359.0,0.0833,0.08362,0.083092,0.083661,-0.032000000000000084,0.056900000000000006,0.024899999999999922,-0.01246405000000017
92,2026-06-11T15:53:42.951Z,SKYAIUSDT,add,+a-b,30,buy,sell,15.0,20.0,5.0,5.0,-15.0,-20.0,0.22823,0.22681,0.23033,0.22683,-0.042599999999999305,0.1050000000000001,0.06240000000000079,-0.006204600000000227
93,2026-06-11T16:04:16.942Z,SKYAIUSDT,add,+a-b,30,buy,sell,19.0,35.0,16.0,16.0,-19.0,-35.0,0.2252,0.22605,0.22683,0.22628,0.02549999999999969,0.016499999999999848,0.04199999999999954,0.00011504999999978338
94,2026-06-11T17:20:52.973Z,EPICUSDT,open,+a-b,12,buy,sell,18.0,24.0,6.0,6.0,-18.0,-24.0,0.6904,0.6904,0.6957,0.6916,0.0,0.04919999999999991,0.04919999999999991,0.006107999999999336
95,2026-06-11T17:46:02.660Z,BTWUSDT,open,+a-b,100,buy,sell,27.0,35.0,8.0,8.0,-27.0,-35.0,0.08141,0.08168,0.081983,0.0816,0.027000000000000635,0.038299999999999446,0.06530000000000008,-0.016163999999999845
96,2026-06-11T18:24:30.412Z,BTWUSDT,close,-a+b,100,sell,buy,15.0,20.0,5.0,5.0,-15.0,-20.0,0.07597,0.07595,0.075823,0.075983,0.0019999999999992246,0.015999999999999348,0.017999999999998573,-0.010896649999999397
97,2026-06-11T19:58:49.465Z,SKYAIUSDT,add,+a-b,30,buy,sell,22.0,30.0,8.0,8.0,-22.0,-30.0,0.24966,0.25012,0.25178,0.25001,0.013800000000000479,0.053099999999999814,0.06690000000000029,-0.010801949999999394
98,2026-06-11T20:33:17.104Z,HOMEUSDT,add,+a-b,200,buy,sell,22.0,30.0,8.0,8.0,-22.0,-30.0,0.03015,0.03015,0.03038,0.03027,0.0,0.02200000000000049,0.02200000000000049,0.01795801000000008
99,2026-06-11T20:33:28.575Z,HOMEUSDT,add,+a-b,200,buy,sell,25.0,33.0,8.0,8.0,-25.0,-33.0,0.02997,0.02994,0.0302,0.03008,-0.0059999999999997555,0.02400000000000041,0.018000000000000654,0.021997999999999962
100,2026-06-11T23:45:08.590Z,SKYAIUSDT,close,-a+b,30,sell,buy,38.0,40.0,2.0,2.0,-38.0,-40.0,0.25398,0.253014,0.25326,0.25319,0.028979999999999007,-0.0020999999999987695,0.026880000000000237,-0.012873060000000436
